XList	RList	Discon	LRef	SRef	MachList	AltList	X_Seg	ALPHA
0	0	6.5	2.7	5.725552611	0.1	0	0.1	0
0.1	0.3045	7.5			1.52	2000	0.2	0.5
0.2	0.4255	13.1			5	4000	0.3	1.5
0.3	0.5145	14.1					0.40	4.2
0.4	0.5865	23					0.5	
0.5	0.647	24.5					0.6	
0.6	0.69955						0.7	
0.7	0.745						0.80	
0.8	0.785						0.9	
0.9	0.82						1.0	
1	0.8515						1.1	
1.1	0.879						1.20	
1.2	0.903						1.3	
1.3	0.924						1.4	
1.4	0.9425						1.5	
1.5	0.958						1.60	
1.6	0.971						1.7	
1.7	0.9815						1.8	
1.8	0.9895						1.9	
1.9	0.99						2.00	
2	0.9925						2.1	
2.1	1						2.2	
2.2	1						2.3	
2.3	1						2.40	
2.40	1						2.5	
2.5	1						2.6	
2.6	1						2.7	
2.7	1						2.80	
2.80	1						2.9	
2.9	1						3.0	
3.0	1						3.1	
3.1	1						3.20	
3.20	1						3.3	
3.3	1						3.4	
3.4	1						3.5	
3.5	1						3.60	
3.60	1						3.7	
3.7	1						3.8	
3.8	1						3.9	
3.9	1						4.00	
4.00	1						4.1	
4.1	1						4.2	
4.2	1						4.3	
4.3	1						4.40	
4.40	1						4.5	
4.5	1						4.6	
4.6	1						4.7	
4.70	1						4.80	
4.8	1						4.90	
4.9	1						5.0	
5.00	1						5.1	
5.1	1						5.2	
5.2	1						5.30	
5.30	1						5.4	
5.4	1						5.5	
5.50	1						5.6	
5.6	1						5.70	
5.7	1						5.8	
5.80	1						5.9	
5.9	1						6.0	
6	1						6.10	
6.10	1						6.2	
6.2	1						6.3	
6.3	1						6.4	
6.40	1						6.50	
6.5	1						6.6	
6.60	0.975						6.7	
6.7	0.95						6.8	
6.8	0.925						6.90	
6.90	0.9						7.0	
7	0.875						7.1	
7.1	0.85						7.2	
7.20	0.825						7.30	
7.3	0.8						7.4	
7.4	0.775						7.5	
7.5	0.75						7.6	
7.6	0.75						7.70	
7.7	0.75						7.8	
7.8	0.75						7.9	
7.9	0.75						8.0	
8	0.75						8.10	
8.1	0.75						8.2	
8.2	0.75						8.3	
8.3	0.75						8.4	
8.4	0.75						8.50	
8.5	0.75						8.6	
8.6	0.75						8.7	
8.7	0.75						8.8	
8.8	0.75						8.90	
8.9	0.75						9.0	
9	0.75						9.1	
9.1	0.75						9.2	
9.2	0.75						9.30	
9.3	0.75						9.4	
9.4	0.75						9.5	
9.5	0.75						9.6	
9.6	0.75						9.70	
9.7	0.75						9.80	
9.8	0.75						9.9	
9.9	0.75						10.0	
10	0.75						10.1	
10.1	0.75						10.20	
10.2	0.75						10.3	
10.3	0.75						10.4	
10.4	0.75						10.5	
10.5	0.75						10.60	
10.6	0.75						10.7	
10.7	0.75						10.8	
10.8	0.75						10.9	
10.9	0.75						11.00	
11	0.75						11.1	
11.1	0.75						11.2	
11.2	0.75						11.3	
11.3	0.75						11.40	
11.4	0.75						11.5	
11.5	0.75						11.60	
11.6	0.75						11.7	
11.7	0.75						11.8	
11.8	0.75						11.9	
11.9	0.75						12.00	
12	0.75						12.1	
12.1	0.75						12.2	
12.2	0.75						12.3	
12.3	0.75						12.40	
12.4	0.75						12.5	
12.5	0.75						12.6	
12.6	0.75						12.7	
12.7	0.75						12.80	
12.8	0.75						12.9	
12.9	0.75						13.0	
13	0.75						13.1	
13.1	0.75						13.20	
13.2	0.775						13.3	
13.3	0.8						13.4	
13.4	0.825						13.5	
13.5	0.85						13.60	
13.6	0.875						13.7	
13.7	0.9						13.8	
13.8	0.925						13.9	
13.9	0.95						14.00	
14	0.975						14.1	
14.1	1						14.2	
14.2	1						14.3	
14.3	1						14.40	
14.40	1						14.5	
14.5	1						14.6	
14.6	1						14.7	
14.7	1						14.80	
14.80	1						14.9	
14.9	1						15.0	
15.0	1						15.1	
15.1	1						15.20	
15.20	1						15.3	
15.3	1						15.4	
15.4	1						15.5	
15.5	1						15.60	
15.60	1						15.7	
15.7	1						15.8	
15.8	1						15.9	
15.9	1						16.00	
16.00	1						16.1	
16.1	1						16.2	
16.2	1						16.3	
16.3	1						16.40	
16.40	1						16.50	
16.50	1						16.6	
16.6	1						16.7	
16.7	1						16.8	
16.8	1						16.90	
16.90	1						17.0	
17.0	1						17.1	
17.1	1						17.2	
17.2	1						17.30	
17.30	1						17.4	
17.4	1						17.5	
17.5	1						17.6	
17.6	1						17.70	
17.70	1						17.8	
17.8	1						17.9	
17.9	1						18.0	
18.0	1						18.10	
18.10	1						18.2	
18.2	1						18.3	
18.3	1						18.4	
18.4	1						18.50	
18.50	1						18.6	
18.6	1						18.7	
18.7	1						18.8	
18.8	1						18.90	
18.90	1						19.0	
19.0	1						19.1	
19.1	1						19.2	
19.2	1						19.30	
19.30	1						19.4	
19.4	1						19.5	
19.5	1						19.6	
19.6	1						19.70	
19.70	1						19.8	
19.8	1						19.9	
19.9	1						20.0	
20.0	1						20.10	
20.10	1						20.2	
20.2	1						20.3	
20.3	1						20.4	
20.4	1						20.50	
20.50	1						20.6	
20.6	1						20.7	
20.7	1						20.8	
20.8	1						20.90	
