Xlist	Rlist	Discon	LRef	SRef	MachList	AltList	X_Seg	ALPHA
0	0	6.5	2.7	5.725552611	0.1	0	0.1	0
0.1	0.3045	7.5			1.52	2000	0.2	0.5
0.2	0.4255	13.1			5	4000	0.3	1.5
0.3	0.5145	14.1					0.4	4.2
0.4	0.5865	23					0.5	
0.5	0.647	24.5					0.6	
0.6	0.69955						0.7	
0.7	0.745						0.8	
0.8	0.785						0.9	
0.9	0.82						1.0	
1.0	0.8515						1.1	
1.1	0.879						1.2	
1.2	0.903						1.3	
1.3	0.924						1.4	
1.4	0.9425						1.5	
1.5	0.958						1.6	
1.6	0.971						1.7	
1.7	0.9815						1.8	
1.8	0.9895						1.9	
1.9	0.99						2.0	
2.0	0.9925						2.1	
2.1	1						2.2	
2.2	1						2.3	
2.3	1						2.4	
2.4	1						2.5	
2.5	1						2.6	
2.6	1						2.7	
2.7	1						2.8	
2.8	1						2.9	
2.9	1						3.0	
3.0	1						3.1	
3.1	1						3.2	
3.2	1						3.3	
3.3	1						3.4	
3.4	1						3.5	
3.5	1						3.6	
3.6	1						3.7	
3.7	1						3.8	
3.8	1						3.9	
3.9	1						4.0	
4.0	1						4.1	
4.1	1						4.2	
4.2	1						4.3	
4.3	1						4.4	
4.4	1						4.5	
4.5	1						4.6	
4.6	1						4.7	
4.7	1						4.8	
4.8	1						4.9	
4.9	1						5.0	
5.0	1						5.1	
5.1	1						5.2	
5.2	1						5.3	
5.3	1						5.4	
5.4	1						5.5	
5.5	1						5.6	
5.6	1						5.7	
5.7	1						5.8	
5.8	1						5.9	
5.9	1						6.0	
6.0	1						6.1	
6.1	1						6.2	
6.2	1						6.3	
6.3	1						6.4	
6.4	1						6.5	
6.5	1						6.6	
6.6	0.975						6.7	
6.7	0.95						6.8	
6.8	0.925						6.9	
6.9	0.9						7.0	
7.0	0.875						7.1	
7.1	0.85						7.2	
7.2	0.825						7.3	
7.3	0.8						7.4	
7.4	0.775						7.5	
7.5	0.75						7.6	
7.6	0.75						7.7	
7.7	0.75						7.8	
7.8	0.75						7.9	
7.9	0.75						8.0	
8.0	0.75						8.1	
8.1	0.75						8.2	
8.2	0.75						8.3	
8.3	0.75						8.4	
8.4	0.75						8.5	
8.5	0.75						8.6	
8.6	0.75						8.7	
8.7	0.75						8.8	
8.8	0.75						8.9	
8.9	0.75						9.0	
9.0	0.75						9.1	
9.1	0.75						9.2	
9.2	0.75						9.3	
9.3	0.75						9.4	
9.4	0.75						9.5	
9.5	0.75						9.6	
9.6	0.75						9.7	
9.7	0.75						9.8	
9.8	0.75						9.9	
9.9	0.75						10.0	
10.0	0.75						10.1	
10.1	0.75						10.2	
10.2	0.75						10.3	
10.3	0.75						10.4	
10.4	0.75						10.5	
10.5	0.75						10.6	
10.6	0.75						10.7	
10.7	0.75						10.8	
10.8	0.75						10.9	
10.9	0.75						11.0	
11.0	0.75						11.1	
11.1	0.75						11.2	
11.2	0.75						11.3	
11.3	0.75						11.4	
11.4	0.75						11.5	
11.5	0.75						11.6	
11.6	0.75						11.7	
11.7	0.75						11.8	
11.8	0.75						11.9	
11.9	0.75						12.0	
12.0	0.75						12.1	
12.1	0.75						12.2	
12.2	0.75						12.3	
12.3	0.75						12.4	
12.4	0.75						12.5	
12.5	0.75						12.6	
12.6	0.75						12.7	
12.7	0.75						12.8	
12.8	0.75						12.9	
12.9	0.75						13.0	
13.0	0.75						13.1	
13.1	0.75						13.2	
13.2	0.775						13.3	
13.3	0.8						13.4	
13.4	0.825						13.5	
13.5	0.85						13.6	
13.6	0.875						13.7	
13.7	0.9						13.8	
13.8	0.925						13.9	
13.9	0.95						14.0	
14.0	0.975						14.1	
14.1	1						14.2	
14.2	1						14.3	
14.3	1						14.4	
14.4	1						14.5	
14.5	1						14.6	
14.6	1						14.7	
14.7	1						14.8	
14.8	1						14.9	
14.9	1						15.0	
15.0	1						15.1	
15.1	1						15.2	
15.2	1						15.3	
15.3	1						15.4	
15.4	1						15.5	
15.5	1						15.6	
15.6	1						15.7	
15.7	1						15.8	
15.8	1						15.9	
15.9	1						16.0	
16.0	1						16.1	
16.1	1						16.2	
16.2	1						16.3	
16.3	1						16.4	
16.4	1						16.5	
16.5	1						16.6	
16.6	1						16.7	
16.7	1						16.8	
16.8	1						16.9	
16.9	1						17.0	
17.0	1						17.1	
17.1	1						17.2	
17.2	1						17.3	
17.3	1						17.4	
17.4	1						17.5	
17.5	1						17.6	
17.6	1						17.7	
17.7	1						17.8	
17.8	1						17.9	
17.9	1						18.0	
18.0	1						18.1	
18.1	1						18.2	
18.2	1						18.3	
18.3	1						18.4	
18.4	1						18.5	
18.5	1						18.6	
18.6	1						18.7	
18.7	1						18.8	
18.8	1						18.9	
18.9	1						19.0	
19.0	1						19.1	
19.1	1						19.2	
19.2	1						19.3	
19.3	1						19.4	
19.4	1						19.5	
19.5	1						19.6	
19.6	1						19.7	
19.7	1						19.8	
19.8	1						19.9	
19.9	1						20.0	
20.0	1						20.1	
20.1	1						20.2	
20.2	1						20.3	
20.3	1						20.4	
20.4	1						20.5	
20.5	1						20.6	
20.6	1						20.7	
